"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","Autenticacao API Card","Atualizar card com key inválida","0","0","1","0","0"
"","Criação de Boards no Trello","Criar board com permissionLevel válido","0","0","3","0","0"
"","CRUD de Card no Trello","Criar card com dados mínimos","0","0","1","0","0"
"","Criação de Boards no Trello","Criar board com sucesso","0","0","1","0","0"
"","Criação de Boards no Trello","Criar board com defaultLabels válido","0","0","2","0","0"
"","Criação de Boards no Trello","Não deve criar board com permissionLevel inválido","0","0","1","0","0"
"","CRUD de Card no Trello","Criar card com idLabels inválido","0","0","1","0","0"
"","Delete de Card","Excluir um card válido","0","0","1","0","0"
"","CRUD de Card no Trello","Criar card com idCardSource inválido","0","0","1","0","0"
"","Autenticacao API Card","Deletar card sem o parametro token","0","0","1","0","0"
"","Autenticacao API Card","Deletar card com token inválido","0","0","1","0","0"
"","CRUD de Card no Trello","Criar card com coordinates inválido","0","0","1","0","0"
"","CRUD de Card no Trello","Criar card com todos os campos","0","0","1","0","0"
"","Autenticacao API Card","Atualizar card sem o parametro token","0","0","1","0","0"
"","CRUD de Card no Trello","Criar card com idMembers válido porém inexistente","0","0","1","0","0"
"","Autenticacao API Card","Criar card sem o parametro key","0","0","1","0","0"
"","Criação de Boards no Trello","Não deve criar board sem token","0","0","1","0","0"
"","CRUD de Card no Trello","Criar card sem idList","0","0","1","0","0"
"","Delete de Card","Excluir um card inexistente","0","0","1","0","0"
"","Fluxo E2E visual de card","Criar, mover e deletar card em board fixo","0","0","1","0","0"
"","Atualizacao de Card","Atualizar nome do card com sucesso","0","0","1","0","0"
"","Autenticacao API Card","Deletar card passando em branco o parametro key","0","0","1","0","0"
"","Criação de Boards no Trello","Não deve criar board com key inválida","0","0","1","0","0"
"","Autenticacao API Card","Criar card com key inválida","0","0","1","0","0"
"","Criação de Boards no Trello","Criar board com nome no limite máximo (16384 caracteres)","0","0","1","0","0"
"","CRUD de Card no Trello","Fluxo completo de card","0","0","1","0","0"
"","Criação de Boards no Trello","Não deve aceitar defaultLabels inválido","0","0","1","0","0"
"","Autenticacao API Card","Deletar card com key inválida","0","0","1","0","0"
"","Autenticacao API Card","Deletar card sem o parametro key","0","0","1","0","0"
"","Autenticacao API Card","Atualizar card com token inválido","0","0","1","0","0"
"","Atualizacao de Card","Atualizar multiplos campos","0","0","1","0","0"
"","Criação de Boards no Trello","Criar board com nome mínimo (1 caractere)","0","0","1","0","0"
"","Autenticacao API Card","Criar card passando em branco o parametro token","0","0","1","0","0"
"","Autenticacao API Card","Atualizar card sem o parametro key","0","0","1","0","0"
"","Criação de Boards no Trello","Não deve criar board com token inválido","0","0","1","0","0"
"","Autenticacao API Card","Deletar card passando em branco o parametro token","0","0","1","0","0"
"","Autenticacao API Card","Atualizar card passando em branco o parametro key","0","0","1","0","0"
"","Autenticacao API Card","Criar card sem o parametro token","0","0","1","0","0"
"","CRUD de Card no Trello","Criar card com idCardSource inexistente","0","0","1","0","0"
"","CRUD de Card no Trello","Criar card com idList inválido","0","0","1","0","0"
"","CRUD de Card no Trello","Criar card com mimeType inválido","0","0","1","0","0"
"","Criação de Boards no Trello","Não deve criar board sem nome","0","0","1","0","0"
"","Atualizacao de Card","Atualizar card com id invalido","0","0","1","0","0"
"","Atualizacao de Card","Atualizar card inexistente","0","0","1","0","0"
"","CRUD de Card no Trello","Criar card com idMembers fora do padrão","0","0","1","0","0"
"","Atualizacao de Card","Atualizar descricao do card","0","0","1","0","0"
"","CRUD de Card no Trello","Criar card com idList vazio","0","0","1","0","0"
"","Autenticacao API Card","Criar card com token inválido","0","0","1","0","0"
"","Autenticacao API Card","Atualizar card passando em branco o parametro token","0","0","1","0","0"
"","Autenticacao API Card","Criar card passando em branco o parametro key","0","0","1","0","0"
"","Criação de Boards no Trello","Não deve criar board com nome acima do limite","0","0","1","0","0"
