"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Apr 11 05:09:55 UTC 2026","Sat Apr 11 05:09:56 UTC 2026","829","","Autenticacao API Card","","Criar card com key inválida","","Criar card com key inválida",""
"passed","Sat Apr 11 05:10:12 UTC 2026","Sat Apr 11 05:10:13 UTC 2026","786","","Criação de Boards no Trello","","Criar board com nome mínimo (1 caractere)","","Criar board com nome mínimo (1 caractere)",""
"passed","Sat Apr 11 05:10:12 UTC 2026","Sat Apr 11 05:10:12 UTC 2026","47","","Criação de Boards no Trello","","Não deve criar board com token inválido","","Não deve criar board com token inválido",""
"passed","Sat Apr 11 05:10:17 UTC 2026","Sat Apr 11 05:10:19 UTC 2026","1767","","CRUD de Card no Trello","","Fluxo completo de card","","Fluxo completo de card",""
"passed","Sat Apr 11 05:10:13 UTC 2026","Sat Apr 11 05:10:13 UTC 2026","18","","Criação de Boards no Trello","","Não deve criar board com nome acima do limite","","Não deve criar board com nome acima do limite",""
"passed","Sat Apr 11 05:09:57 UTC 2026","Sat Apr 11 05:09:58 UTC 2026","1217","","Autenticacao API Card","","Deletar card com key inválida","","Deletar card com key inválida",""
"passed","Sat Apr 11 05:10:16 UTC 2026","Sat Apr 11 05:10:17 UTC 2026","817","","Criação de Boards no Trello","","Criar board com defaultLabels válido","","Criar board com defaultLabels válido",""
"passed","Sat Apr 11 05:09:54 UTC 2026","Sat Apr 11 05:09:55 UTC 2026","1148","","Autenticacao API Card","","Deletar card com token inválido","","Deletar card com token inválido",""
"passed","Sat Apr 11 05:10:23 UTC 2026","Sat Apr 11 05:10:24 UTC 2026","863","","CRUD de Card no Trello","","Criar card com idMembers fora do padrão","","Criar card com idMembers fora do padrão",""
"passed","Sat Apr 11 05:09:56 UTC 2026","Sat Apr 11 05:09:57 UTC 2026","1092","","Autenticacao API Card","","Atualizar card com key inválida","","Atualizar card com key inválida",""
"passed","Sat Apr 11 05:10:19 UTC 2026","Sat Apr 11 05:10:20 UTC 2026","1072","","CRUD de Card no Trello","","Criar card com dados mínimos","","Criar card com dados mínimos",""
"passed","Sat Apr 11 05:10:12 UTC 2026","Sat Apr 11 05:10:12 UTC 2026","52","","Criação de Boards no Trello","","Não deve criar board sem token","","Não deve criar board sem token",""
"passed","Sat Apr 11 05:10:12 UTC 2026","Sat Apr 11 05:10:12 UTC 2026","75","","Criação de Boards no Trello","","Não deve criar board sem nome","","Não deve criar board sem nome",""
"passed","Sat Apr 11 05:10:25 UTC 2026","Sat Apr 11 05:10:26 UTC 2026","795","","CRUD de Card no Trello","","Criar card com idList inválido","","Criar card com idList inválido",""
"passed","Sat Apr 11 05:10:22 UTC 2026","Sat Apr 11 05:10:23 UTC 2026","1040","","CRUD de Card no Trello","","Criar card com idLabels inválido","","Criar card com idLabels inválido",""
"passed","Sat Apr 11 05:10:04 UTC 2026","Sat Apr 11 05:10:05 UTC 2026","1025","","Autenticacao API Card","","Deletar card sem o parametro key","","Deletar card sem o parametro key",""
"passed","Sat Apr 11 05:10:37 UTC 2026","Sat Apr 11 05:10:38 UTC 2026","903","","Atualizacao de Card","","Atualizar card com id invalido","","Atualizar card com id invalido",""
"passed","Sat Apr 11 05:10:14 UTC 2026","Sat Apr 11 05:10:15 UTC 2026","899","","Criação de Boards no Trello","","Criar board com permissionLevel válido","","Criar board com permissionLevel válido",""
"passed","Sat Apr 11 05:10:13 UTC 2026","Sat Apr 11 05:10:13 UTC 2026","20","","Criação de Boards no Trello","","Criar board com nome no limite máximo (16384 caracteres)","","Criar board com nome no limite máximo (16384 caracteres)",""
"passed","Sat Apr 11 05:10:08 UTC 2026","Sat Apr 11 05:10:09 UTC 2026","901","","Autenticacao API Card","","Criar card passando em branco o parametro token","","Criar card passando em branco o parametro token",""
"passed","Sat Apr 11 05:10:10 UTC 2026","Sat Apr 11 05:10:11 UTC 2026","1298","","Autenticacao API Card","","Deletar card passando em branco o parametro token","","Deletar card passando em branco o parametro token",""
"passed","Sat Apr 11 05:10:29 UTC 2026","Sat Apr 11 05:10:30 UTC 2026","839","","CRUD de Card no Trello","","Criar card com coordinates inválido","","Criar card com coordinates inválido",""
"passed","Sat Apr 11 05:10:28 UTC 2026","Sat Apr 11 05:10:29 UTC 2026","833","","CRUD de Card no Trello","","Criar card com mimeType inválido","","Criar card com mimeType inválido",""
"passed","Sat Apr 11 05:10:15 UTC 2026","Sat Apr 11 05:10:16 UTC 2026","701","","Criação de Boards no Trello","","Criar board com defaultLabels válido","","Criar board com defaultLabels válido",""
"passed","Sat Apr 11 05:10:12 UTC 2026","Sat Apr 11 05:10:12 UTC 2026","46","","Criação de Boards no Trello","","Não deve criar board com key inválida","","Não deve criar board com key inválida",""
"passed","Sat Apr 11 05:09:49 UTC 2026","Sat Apr 11 05:09:53 UTC 2026","3349","","Autenticacao API Card","","Criar card com token inválido","","Criar card com token inválido",""
"passed","Sat Apr 11 05:10:36 UTC 2026","Sat Apr 11 05:10:37 UTC 2026","1414","","Atualizacao de Card","","Atualizar multiplos campos","","Atualizar multiplos campos",""
"passed","Sat Apr 11 05:09:53 UTC 2026","Sat Apr 11 05:09:54 UTC 2026","1472","","Autenticacao API Card","","Atualizar card com token inválido","","Atualizar card com token inválido",""
"passed","Sat Apr 11 05:10:38 UTC 2026","Sat Apr 11 05:10:39 UTC 2026","806","","Atualizacao de Card","","Atualizar card inexistente","","Atualizar card inexistente",""
"passed","Sat Apr 11 05:10:32 UTC 2026","Sat Apr 11 05:10:32 UTC 2026","55","","Delete de Card","","Excluir um card inexistente","","Excluir um card inexistente",""
"passed","Sat Apr 11 05:09:59 UTC 2026","Sat Apr 11 05:10:00 UTC 2026","1115","","Autenticacao API Card","","Atualizar card sem o parametro token","","Atualizar card sem o parametro token",""
"passed","Sat Apr 11 05:10:06 UTC 2026","Sat Apr 11 05:10:08 UTC 2026","1190","","Autenticacao API Card","","Deletar card passando em branco o parametro key","","Deletar card passando em branco o parametro key",""
"passed","Sat Apr 11 05:10:21 UTC 2026","Sat Apr 11 05:10:22 UTC 2026","906","","CRUD de Card no Trello","","Criar card sem idList","","Criar card sem idList",""
"passed","Sat Apr 11 05:10:33 UTC 2026","Sat Apr 11 05:10:35 UTC 2026","1367","","Atualizacao de Card","","Atualizar nome do card com sucesso","","Atualizar nome do card com sucesso",""
"passed","Sat Apr 11 05:10:15 UTC 2026","Sat Apr 11 05:10:15 UTC 2026","68","","Criação de Boards no Trello","","Não deve criar board com permissionLevel inválido","","Não deve criar board com permissionLevel inválido",""
"passed","Sat Apr 11 05:10:05 UTC 2026","Sat Apr 11 05:10:06 UTC 2026","1064","","Autenticacao API Card","","Atualizar card passando em branco o parametro key","","Atualizar card passando em branco o parametro key",""
